iter	Passed	Remaining
0	61	61407
1	61	30854
2	62	20737
3	62	15645
4	63	12605
5	63	10554
6	64	9122
7	65	8105
8	65	7248
9	66	6570
10	66	6007
11	67	5539
12	67	5144
13	68	4802
14	68	4507
15	69	4247
16	69	4012
17	69	3804
18	70	3618
19	70	3452
20	70	3300
21	71	3175
22	71	3053
23	72	2939
24	72	2834
25	73	2739
26	73	2654
27	74	2575
28	74	2500
29	75	2431
30	75	2371
31	76	2308
32	76	2247
33	77	2192
34	77	2146
35	78	2096
36	78	2051
37	79	2011
38	79	1970
39	80	1932
40	81	1900
41	81	1864
42	82	1827
43	82	1793
44	83	1772
45	84	1745
46	84	1714
47	85	1690
48	85	1660
49	86	1636
50	86	1608
51	87	1597
52	88	1574
53	88	1549
54	88	1528
55	89	1504
56	89	1487
57	90	1471
58	91	1454
59	91	1440
60	92	1428
61	93	1411
62	93	1393
63	94	1376
64	95	1367
65	95	1350
66	95	1335
67	96	1318
68	96	1306
69	97	1294
70	97	1280
71	98	1269
72	98	1255
73	99	1245
74	99	1233
75	100	1219
76	100	1210
77	101	1196
78	101	1185
79	102	1174
80	102	1161
81	102	1150
82	103	1138
83	103	1130
84	104	1120
85	104	1110
86	104	1099
87	105	1091
88	105	1083
89	106	1074
90	106	1065
91	107	1061
92	107	1052
93	108	1046
94	109	1039
95	109	1030
96	109	1023
97	110	1015
98	110	1006
99	110	998
100	111	990
101	111	982
102	111	974
103	112	969
104	113	963
105	113	956
106	113	949
107	114	943
108	114	936
109	114	929
110	115	923
111	115	918
112	116	911
113	116	907
114	117	901
115	117	896
116	117	890
117	118	885
118	118	879
119	119	873
120	119	867
121	119	861
122	120	856
123	120	851
124	121	847
125	121	843
126	122	840
127	123	840
128	124	837
129	124	832
130	125	829
131	125	827
132	126	822
133	126	817
134	126	812
135	127	807
136	127	802
137	128	799
138	128	796
139	129	793
140	129	791
141	130	785
142	130	781
143	130	777
144	131	774
145	131	771
146	132	767
147	132	764
148	133	761
149	133	758
150	134	754
151	134	750
152	135	748
153	135	745
154	136	742
155	136	738
156	137	736
157	137	732
158	138	730
159	138	727
160	138	724
161	139	721
162	139	718
163	140	716
164	140	713
165	141	709
166	141	707
167	142	705
168	142	702
169	143	698
170	143	696
171	144	694
172	145	695
